question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Year,Année,2023,2023,,,89.9,,89.6,90.2,32544,36035,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Age,L'âge,15-19,15-19,,,70.1,,68.0,72.2,1820,2495,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * age_group2,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Age,L'âge,20-24,20-24,,,87.3,,85.5,89.0,3917,4479,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * age_group2,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Age,L'âge,25-54,25-54,,,90.3,,89.7,90.9,15335,16817,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * age_group2,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Age,L'âge,55+,55+,,,93.2,,92.7,93.7,11472,12244,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * age_group2,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Sex at birth,Sexe à la naissance,Male,Homme,,,89.4,,88.7,90.1,15483,17310,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q02,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Sex at birth,Sexe à la naissance,Female,Femme,,,90.4,,89.9,90.8,17061,18725,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q02,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Gender,Le genre,Men,Hommes,,,89.5,v,88.8,90.1,15344,17142,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table ALC_Q01 * ags_q03r_NSET,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Gender,Le genre,Women,Femmes,,,90.4,,89.9,90.8,16768,18409,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table ALC_Q01 * ags_q03r_NSET,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Gender,Le genre,Another gender,Autre identité de genre,,,87.9,,83.0,91.5,387,432,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table ALC_Q01 * ags_q03r_NSET,1
