question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Year,Année,2023,2023,,,30.2663054,,29.69674197,30.84200039,11048,36015,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Age,L'âge,15-19,15-19,,,14.1717637,,12.86256822,15.59037203,361,2512,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * age_group2,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Age,L'âge,20-24,20-24,,,24.407158,,22.89935252,25.98078972,1046,4462,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * age_group2,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Age,L'âge,25-54,25-54,,,31.71015152,,30.86689634,32.56559194,5649,16802,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * age_group2,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Age,L'âge,55+,55+,,,32.34751889,,31.2000903,33.51658847,3992,12239,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * age_group2,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Sex at birth,Sexe à la naissance,Male,Homme,,,25.35236465,,24.38977419,26.33971119,4491,17290,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q02,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Sex at birth,Sexe à la naissance,Female,Femme,,,35.06748202,,34.38713627,35.75395337,6557,18725,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q02,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Gender,Le genre,Men,Hommes,,,25.24646849,,24.22488786,26.2961796,4445,17126,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table PR_Q01 * ags_q03r_NSET,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Gender,Le genre,Women,Femmes,,,34.9932271,,34.25083615,35.74296174,6417,18407,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table PR_Q01 * ags_q03r_NSET,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Gender,Le genre,Another gender,Autre identité de genre,,,37.75046084,,31.29518419,44.67151492,165,431,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Only valid responses for gender were retained in the 'another gender' category. These included, but are not limited to: non-binary, agender, gender neutral, gender fluid, gender queer, and questioning.","Seules les réponses valides pour le genre ont été retenues dans la catégorie « un autre genre ». Ceux-ci incluent, sans toutefois s'y limiter : les comportements non binaires, les genres, les genres neutres, les genres fluides, les genres queer et les questionnements.",Table PR_Q01 * ags_q03r_NSET,1
