substance,indicator,age_group,percentage,sample_count,total_surveyed
Alcohol,Lifetime use of alcohol,15-19,70.1,1820,2495.0
Alcohol,Lifetime use of alcohol,20-24,87.3,3917,4479.0
Alcohol,Lifetime use of alcohol,25-54,90.3,15335,16817.0
Alcohol,Lifetime use of alcohol,55+,93.2,11472,12244.0
Alcohol,Past 12 month use of alcohol,15-19,62.7,1635,2487.0
Alcohol,Past 12 month use of alcohol,20-24,81.0,3638,4477.0
Alcohol,Past 12 month use of alcohol,25-54,80.4,13505,16798.0
Alcohol,Past 12 month use of alcohol,55+,80.4,9747,12232.0
Alcohol,Past 30 day use of alcohol,15-19,42.6,1155,2483.0
Alcohol,Past 30 day use of alcohol,20-24,63.4,2865,4474.0
Alcohol,Past 30 day use of alcohol,25-54,67.8,11286,16792.0
Alcohol,Past 30 day use of alcohol,55+,69.4,8338,12228.0
Alcohol,Past 7 day use of alcohol,15-19,21.6,628,2531.0
Alcohol,Past 7 day use of alcohol,20-24,41.9,1906,4490.0
Alcohol,Past 7 day use of alcohol,25-54,50.4,8351,16869.0
Alcohol,Past 7 day use of alcohol,55+,54.9,6516,12269.0
Alcohol,Age at first alcoholic drink,15-19,13.0,184,1689.0
Alcohol,Age at first alcoholic drink,15-19,50.0,766,1689.0
Alcohol,Age at first alcoholic drink,15-19,34.6,683,1689.0
Alcohol,Age at first alcoholic drink,15-19,2.4,56,1689.0
Alcohol,Age at first alcoholic drink,20-24,6.1,227,3752.0
Alcohol,Age at first alcoholic drink,20-24,33.2,1286,3752.0
Alcohol,Age at first alcoholic drink,20-24,44.6,1675,3752.0
Alcohol,Age at first alcoholic drink,20-24,16.0,564,3752.0
Alcohol,Age at first alcoholic drink,25-54,7.6,1163,14977.0
Alcohol,Age at first alcoholic drink,25-54,33.5,5303,14977.0
Alcohol,Age at first alcoholic drink,25-54,41.6,6100,14977.0
Alcohol,Age at first alcoholic drink,25-54,17.3,2411,14977.0
Alcohol,Age at first alcoholic drink,55+,6.1,725,11190.0
Alcohol,Age at first alcoholic drink,55+,24.5,2991,11190.0
Alcohol,Age at first alcoholic drink,55+,48.5,5314,11190.0
Alcohol,Age at first alcoholic drink,55+,20.9,2160,11190.0
Alcohol,Typical number of drinks when drinking in the past 12 months,15-19,18.7,290,1560.0
Alcohol,Typical number of drinks when drinking in the past 12 months,15-19,18.3,284,1560.0
Alcohol,Typical number of drinks when drinking in the past 12 months,15-19,28.7,447,1560.0
Alcohol,Typical number of drinks when drinking in the past 12 months,15-19,34.3,539,1560.0
Alcohol,Typical number of drinks when drinking in the past 12 months,20-24,21.3,735,3575.0
Alcohol,Typical number of drinks when drinking in the past 12 months,20-24,25.8,913,3575.0
Alcohol,Typical number of drinks when drinking in the past 12 months,20-24,28.3,1006,3575.0
Alcohol,Typical number of drinks when drinking in the past 12 months,20-24,24.6,921,3575.0
Alcohol,Typical number of drinks when drinking in the past 12 months,25-54,29.7,3963,13318.0
Alcohol,Typical number of drinks when drinking in the past 12 months,25-54,32.3,4235,13318.0
Alcohol,Typical number of drinks when drinking in the past 12 months,25-54,23.7,3154,13318.0
Alcohol,Typical number of drinks when drinking in the past 12 months,25-54,14.2,1966,13318.0
Alcohol,Typical number of drinks when drinking in the past 12 months,55+,41.2,3896,9578.0
Alcohol,Typical number of drinks when drinking in the past 12 months,55+,33.8,3242,9578.0
Alcohol,Typical number of drinks when drinking in the past 12 months,55+,17.6,1729,9578.0
Alcohol,Typical number of drinks when drinking in the past 12 months,55+,7.4,711,9578.0
Alcohol,Typical number of drinks when drinking in past 30 days,15-19,20.1,228,1124.0
Alcohol,Typical number of drinks when drinking in past 30 days,15-19,19.8,221,1124.0
